text,therapy,disorder,source,citation
"Patient presents with treatment-resistant depression, chronic depression. Patient has tried self-management without success.",Medication Management,Depression,clinical_knowledge_graph,NICE CG90: Combination of antidepressant + psychological therapy
"Patient presents with loss of interest, poor concentration, persistent low mood. Impact on work and relationships noted.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT recommended for mild-moderate depression
 such as not enough sleep,Sleep Therapy,Anxiety,huggingface_counseling,
"I can't even smile or fake one. I can't feel happiness about anything and I can't show love towards another person not even my girlfriend. I hate myself sometimes. All I see is ugly.
   I can't get over the loss of a loved one and I'm not close to my family. What can I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"When I'm in large crowds I get angry and I just can't deal with people. I don't really like other people (I prefer animals) they make me nervous and scared.
   I lay awake at night thinking and having conversations in my head and i almost always end up making myself feel terrible and crying, I have ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month.  I want someone who is more present and more of a life companion.
Lately, he has had a very busy work schedu",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I feel like I'm trying to convince myself that I'm okay when I'm not. I'm always blocking out the bad things and forgetting. I also feel like nobody cares for me and they never will. I feel truly alone.,Sleep Therapy,Anxiety,huggingface_counseling,
"I have not had a friend since I was 19. I don't go anywhere, and I have no job, all because I'm afraid of people.",Group Therapy,Anxiety,huggingface_counseling,
"I self-harm, and I stop for awhile. Then when I see something sad or depressing, I automatically want to self-harm.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I've been having horrible anxiety for the last week. I can't sleep. I get a sense of doom, and it's hard to breathe. I feel like nothing I do makes it better.",Sleep Therapy,Anxiety,huggingface_counseling,
"I feel as though I'm suffering severe abandonment issues stemming from childhood. I convince myself I'm not worthy of happiness, and I’m always afraid I'm doing something wrong. It's as if I create little scenarios in my mind, and I start to believe them.",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"At a friend's house, we had some drinks and watched some television. He got up and went to bed. I felt sick. He came out to see if I was okay, and I said no. I said I wanted to go home, and he told me to come lay down. As I laid down on the bed, he started touching me. A friend called me, then I abl",Cognitive Behavioral Therapy,PTSD,huggingface_counseling,
"Patient presents with restlessness, uncontrollable worry, muscle tension.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG113: CBT recommended as first-line psychological intervention for GAD
"For the past four weeks, I've been having nightmares and hearing voices telling me of horrible things. They're not random voices, but rather, the voices of those I care about.",Sleep Therapy,Stress,huggingface_counseling,
"Patient presents with avoidance, phobic stimulus, anticipatory anxiety. This has persisted for several months.",Exposure Therapy,Anxiety,clinical_knowledge_graph,APA Practice Guideline: In vivo exposure for specific phobia
"Patient presents with muscle tension, irritability, fatigue, generalised worry. This has persisted for several months.",Mindfulness-Based Therapy,Anxiety,clinical_knowledge_graph,NICE CG113 Step 3: MBSR as alternative where CBT not available
"Patient presents with depersonalization, dizziness, derealization, fear of losing control.",Cognitive Behavioral Therapy,Panic Disorder,clinical_knowledge_graph,Clark 1986 cognitive model of panic: CBT targets catastrophic misinterpretation
"Patient presents with persistent low mood, poor concentration, loss of interest, fatigue. Previous episode resolved with therapy.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT recommended for mild-moderate depression
"I panicked over a minor parking lot mistake. It was totally my fault, but due to another insurance issue, I left a note with an illegible phone number. Guilty over this, I got an envelope containing several hundred dollars. Unfortunately, by the time I returned, the other driver had seen my ersatz n",Cognitive Behavioral Therapy,Panic Disorder,huggingface_counseling,
How does a counselor decide when to end counseling sessions or to terminate working with a client?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I have been having a lot of nightmares where I am being killed in different ways. I either wake up in a panic or just crying and sweating. It has made me terrified of falling asleep and is now affecting my daily life too.  Can I make the nightmares stop?,Exposure Therapy,Anxiety,huggingface_counseling,
"I've been with my husband for eight years now. We have split twice before, and the first time was because he cheated. I took him back months later, and he really tried making it up to me by making a lot of changes. However, we continued to have issues because of my lack of trust. My insecurities and",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I was raped a couple months ago, Since then, along with other unfortunately events that have occurred, I have been having trouble feeling emotions. It's almost as if I'm a sociopath lacking any feeling. What can I do to change this?",Cognitive Behavioral Therapy,PTSD,huggingface_counseling,
"I've worked with this guy for about three years now, and I knew the first time I saw him that I was attracted. Over time, he became a very dear friend, and we talked about our relationship problems, family, dreams, and so on. There was always flirtation with us, and one day pretty recently, it progr",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I spent my whole life taking care of my dad, but left because of his verbally abusive behavior. I was the only one that helped with his health issues. I feel if I hadn't left he might still be alive. I need help dealing with my grief and guilty conscience.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?,Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Patient presents with chronic stress, physiological tension, gastrointestinal, headaches. Patient has tried self-management without success.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,MBSR evidence base: Kabat-Zinn 1990 — stress reduction programme
"Patient presents with emotional numbing, detachment, avoidance. Impact on work and relationships noted.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018: Trauma-focused EMDR for PTSD — 8-12 sessions
"Patient presents with physiological tension, headaches. Patient has tried self-management without success.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,MBSR evidence base: Kabat-Zinn 1990 — stress reduction programme
"Patient presents with detachment, emotional numbing, survivor guilt. This has persisted for several months.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018: Trauma-focused EMDR for PTSD — 8-12 sessions
Why am I attracted to older men?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I feel like I would be more comfortable as a girl even though I still like girls. I think I'm like a girl stuck in a guy body. I imagine myself as a girl too. I think this more because my friends say that if I was a girl I would be a hot looking one. And I don't care about having boobs or anything. ,Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Patient presents with burnout, emotional depletion, work overload, exhaustion. Patient has tried self-management without success.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,APA: Mindfulness-Based Stress Reduction (MBSR) for occupational burnout
"I'm not suicidal and wouldn't take my own life, but sometimes, I've wished for an accident to occur and take it. I feel like I just shouldn't be here and wish I wouldn't have been born so I didn't have to go through life. For me, it's a chore, but I don't know if that's normal or a sign of something",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I might dig hole in the ground with a paper that says ""here lays my emotions. R.I.P."" I practically have no emotions left and I came to the realization about this not being normal by c",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"It's the way my mom said I was worth nothing, stupid, no point of being in school. I'm ""lazy little fat.""",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I'm 17 and I'm sick and tired of going back and forth. I'd like to stay at my mother's house. This problem has really affected me. I've had anxiety attacks and suicidal thoughts and self-harm in the past.    Currently I'm going through anxiety and my thearapist is not available. How do I handle this,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with avoidance of social situations, blushing. Patient reports significant distress.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG159: CBT recommended for social anxiety disorder
I would like to be able to have more positive relationships in the present.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
How do I decide if I should end my relationship with my boyfriend?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"How do you know you have the right therapist for you?
 How would I know how to ""train"" my therapist to be able to give me what I need from treatment?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"He is verbally abusive. When he gets mad, he just yells at me. At times, I feel scared.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I recently lost a friend to suicide. I'm smoking marijuana and drinking more to cope with it. How can I handle this better?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with chronic stress, physiological tension. Previous episode resolved with therapy.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,MBSR evidence base: Kabat-Zinn 1990 — stress reduction programme
"I am in my early 20s and I still live with my parents because I can't afford to live alone.

My mother says that if I live under her roof I have to follow her rules. She is trying to control my life. What should I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with screen use, sleep hygiene problems. Previous episode resolved with therapy.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"Patient presents with early trauma, recurrent depression, self-criticism, attachment issues. This has persisted for several months.",Psychodynamic Therapy,Depression,clinical_knowledge_graph,NICE CG90: Short-term psychodynamic therapy for depression
Does counseling really do anything that can help people?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My fiancé and I have been in a relationship for two years. We have an infant son. My fiancé also has a child from a previous relationship. We do not live together. I live with my mother currently while I get on my feet, and he's living with some friends. My mother and I have an awful relationship th",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with social withdrawal, loneliness, isolation.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
I was born a girl. I look like a boy. I sometimes feel like a different variation of gender. I don't know what to say if someone asks my gender. I just get really confused and usually say my birth gender.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with generalised worry, irritability. This has persisted for several months.",Mindfulness-Based Therapy,Anxiety,clinical_knowledge_graph,NICE CG113 Step 3: MBSR as alternative where CBT not available
"About 3 years ago or so I was skinny, but I was still ugly. I really do want to change that but I've tried 3 times. Now can I try but don't stop. At school I get bullied about my weight and my ugliness and I have been bullied my whole life that I believe them.
How can I stop thinking about them and ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I was in a car accident and totaled my car. I gave up my job of nine years to pursue school full-time to better myself. I failed a class, and my boyfriend that I live with thinks I’m stupid and wants to break up with me. I have nowhere to go, and I feel like I’m losing everything.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with flashbacks, hypervigilance, nightmares. Symptoms are affecting daily functioning.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018 PTSD: EMDR recommended as first-line alongside trauma-focused CBT
"Patient presents with screen use, irregular schedule.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with self-criticism, early trauma, attachment issues, recurrent depression. This has persisted for several months.",Psychodynamic Therapy,Depression,clinical_knowledge_graph,NICE CG90: Short-term psychodynamic therapy for depression
Everything just makes me upset.,Sleep Therapy,Anxiety,huggingface_counseling,
"Patient presents with hypervigilance, nightmares, flashbacks, trauma re-experiencing. No prior psychiatric history.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018 PTSD: EMDR recommended as first-line alongside trauma-focused CBT
"Patient presents with daytime fatigue, non-restorative sleep, early morning awakening. Symptoms are affecting daily functioning.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM CBT-I: Sleep restriction + stimulus control therapy
"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"He is always telling me our fights are only and all my fault, he bashes me to our young child, and he is addicted to a few substances.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky. Is this normal? Should I still be feeling like this?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I no longer carry expressions on my face, and my emotions are decreasing the more I have fights with my fiancée.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I've been feeling worthless, unaccomplished, and so frustrated. I want to break things, hit myself, run away, kick, scream, and cry. I just want to be happy and outgoing again. I want to be able to take care of my daughter and live comfortably.",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
"Patient presents with anticipatory anxiety, specific fear, avoidance, phobic stimulus. Impact on work and relationships noted.",Exposure Therapy,Anxiety,clinical_knowledge_graph,APA Practice Guideline: In vivo exposure for specific phobia
"Patient presents with assault trauma, accident trauma, complex PTSD. This has persisted for several months.",EMDR Therapy,PTSD,clinical_knowledge_graph,WHO 2013: EMDR recommended for PTSD in adults
"Patient presents with overthinking, nervousness, sleep onset delay. Impact on work and relationships noted.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with social withdrawal, loss of relationships. Symptoms are affecting daily functioning.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
"I have anger issues that have worsened over the years because I’ve never dealt with my emotions. My anger has never been expressed physically until the past year. My girlfriend has had to endure these episodes. I love her, and I think I’m about to lose her, if I already haven’t. I throw things at he",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't want to hurt them. But I'm not sure how long that I can keep the secret to myself.

What should I do? It's becoming annoying and making me anxious. Help me out",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"How do you know you have the right therapist for you?
 How would I know how to ""train"" my therapist to be able to give me what I need from treatment?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I keep having these random thoughts that I don't want. Things like ""you aren't worth anything."" I know they're my own thoughts but it feels like someone else is saying it.
   What is wrong with me, and how can I stop having these thoughts?",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Patient presents with chest tightness, panic attacks, avoidance. Previous episode resolved with therapy.",Exposure Therapy,Panic Disorder,clinical_knowledge_graph,NICE CG113: Panic disorder — CBT with interoceptive exposure is first-line
"I’ve been on 0.5 mg of Xanax twice a day for the past month. It hasn't been helping me at all, but when I take 1 mg during a big anxiety attack, it calms me down. I was wondering how I can ask my psychologist to up the dose to 1 mg twice a day without her thinking I'm abusing them. I just have very ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counse",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My daughter is in later elementary school. She can't color in the lines. Her words jumble together when she writes unless there are big spaces or she skips lines.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I am in my early 20s and I still live with my parents because I can't afford to live alone.
   My mother says that if I live under her roof I have to follow her rules. She is trying to control my life. What should I do?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My mother takes care of niece whom my sister abandoned. She calls me every day complaining, but I don't want to hear it anymore.",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by my",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counse",Sleep Therapy,Anxiety,huggingface_counseling,
"Patient presents with muscle tension, uncontrollable worry, excessive worry, restlessness. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG113: CBT recommended as first-line psychological intervention for GAD
"Patient presents with passive suicidal ideation, anhedonia, hopelessness, worthlessness. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Depression,clinical_knowledge_graph,NICE CG90: CBT for moderate-severe depression
"Patient presents with hypervigilance, flashbacks, trauma re-experiencing, nightmares. Symptoms are affecting daily functioning.",EMDR Therapy,PTSD,clinical_knowledge_graph,NICE 2018 PTSD: EMDR recommended as first-line alongside trauma-focused CBT
"Patient presents with loss of relationships, isolation, social withdrawal. Symptoms are affecting daily functioning.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
"My husband and I have been married for seven years, and in that time, we have only had sex four or five times. Others have told me that most men would have left me by now. Honestly, I think I have a low sex drive or neither one of us actually knows what we are doing. I want to be better connected wi",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My fiancé and I broke up. He cheated on me numerous times. I kept forgiving but questioning his every move. He got tired and left.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My fiancé and I have almost the best relationship every girl wants, but lately it's changed. I get less attention and little to no intercourse. He works a lot and goes to the gym a lot (he's a football player for an indoor league), but he has no time for me. We live two hours from family, and when I",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm a male in my 20s. My girlfriend is in her late 30s. She's great. She's funny and smart, she has a big heart, and we have an excellent sex life. She recently moved in with me partially because she wanted to and partially because she had no place to go. We fight a lot. It’s mostly my fault, I must",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I’m in a relationship with my child's father. I’m a really jealous person. We don’t go out or do anything with other people because of me. To keep our relationship going, I know I have to stop being jealous, but I can’t. How can I get over these issues?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My husband doesn’t trust me for some past we had. I know all marriages have their ups and downs, but sometimes, I feel I am getting tired of the same thing over and over: that I am messing around, which I am not.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My boyfriend has a child he gets every other weekend. He goes to see her twice a week or more. Every time she leaves, he gets into these funks like when his mom died. When she’s here, she’s disrespectful, and his answer is “Well, I don’t know what to tell you.” She swears and talks back, and he laug",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have been diagnosed with posttraumatic stress disorder due to my military experiences. Not a year ago, I had a car accident. Could this experience add more problems?",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"After he got home from the hospital he was angry, then for a time wonderful. Now he is depressed and hopeless again.",Medication Management,Depression,huggingface_counseling,
"My toddler defies everything I say and doesn’t see me as authoritative, so she says no about everything. I'd like to hear some ways I can work on not needing to feel so much in control all the time.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I’m a teenager. My entire family needs family therapy, and more than likely individual therapy. My parents refuse to take action, and I'm tired of it. Is there any way I can get out of this myself?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My fiancé and I recently had an argument over finances. He gives me the money each month to pay his automobile insurance. He no longer has one of the vehicles on the policy. He realized he was still paying for the coverage and asked why I was allowing him to continue to do that since I was physicall,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I crave attention, companionship, and sex. She has had a hysterectomy, and she has a bad knee.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with loss of relationships, isolation, loneliness, social withdrawal. This has persisted for several months.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
I've gone to a couple therapy sessions so far and still everytime I walk in I get nervous and shaky.  Is this normal? Should I still be feeling like this?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I was in a situation with a guy. He’s my brother’s friend and kind of like a brother to me. He invited me over to hang out, and then came on to me. I was instantly terrified to say no, and I gave in. I don't know what's wrong with me. I can't figure out why I'm afraid to say no. This is giving me a ",Cognitive Behavioral Therapy,Depression,huggingface_counseling,
How does a person start the counseling process?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have bipolar II disorder, I'm addicted to alcohol and weed, and I'm hopeless. I keep drinking even though it's harming myself and others.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have so many issues to address. I have a history of sexual abuse, I’m a breast cancer survivor and I am a lifetime insomniac.    I have a long history of depression and I’m beginning to have anxiety. I have low self esteem but I’ve been happily married for almost 35 years.
   I’ve never had counse",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Sometimes I can't stop thinking about life after death. I was raised in a religion that teaches that we will live on forever either in hell or in heaven. 
When I think of living forever (even if it is in heaven which should be good), I feel overwhelmed. I don't like the thought of living forever an",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I am currently suffering from erectile dysfunction and have tried Viagra, Cialis, etc.  Nothing seemed to work.  My girlfriend of 3 years is very sexually frustrated.  I told her that it is okay for her to have sex with other men.  Is that really okay?",Sleep Therapy,Anxiety,huggingface_counseling,
"My ex-wife married and used me to have a child. She now uses that child as a pawn. I know my child misses me, but I need to move on and not live in the past. How do I do this? Do I see my child as much as possible or very little? Is it more confusing for the child?",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
How does a counselor decide when to end counseling sessions or to terminate working with a client?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with exhaustion, work overload, emotional depletion, burnout. Previous episode resolved with therapy.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,APA: Mindfulness-Based Stress Reduction (MBSR) for occupational burnout
"After he got home from the hospital he was angry, then for a time wonderful.  Now he is depressed and hopeless again.",Medication Management,Depression,huggingface_counseling,
"I have three children: a biological daughter, a stepdaughter, and a stepson. I found out my stepdaughter overdosed today. My daughter blames me. I told her to stay out of it. I'm scared of all three kids now. They all blame me for their choices they made. All three have drug addictions. I had a stro",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I don't remember when the voices in my head started, but I remember Hearing them when I was little.    I know it's not normal to hear voices that aren't your own. I fight the voices and I want them to stop. They've been here so long and I want them gone. How can I make the voices stop?",Medication Management,Anxiety,huggingface_counseling,
I am becoming a Water Safety Instructor but I didn't have enough for a proper swimsuit. I was told by a boy in class that my top was displaying everything. I was very embarrassed.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My therapist is gay so there are no sexual issues here. However, my therapist for six years has made me believe that he cares about me and that we are friends. I have loaned money to him many times, and he always paid me back.
   I had a medical emergency last weekend and I was heavily medicated. I ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My son was diagnosed with autism a few years ago and I stopped working so that I could take care of him. I also was dealing with an abusive relationship (mentally, physically, and emotionally). Now I live like a recluse and I always feel nervous around people.
   How can I feel more comfortable arou",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
My daughter is in later elementary school. She can't color in the lines. Her words jumble together when she writes unless there are big spaces or she skips lines.,Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Patient presents with treatment-resistant depression, medication side effects, chronic depression. Previous episode resolved with therapy.",Medication Management,Depression,clinical_knowledge_graph,NICE CG90: Combination of antidepressant + psychological therapy
"Patient presents with sleep onset delay, concentration difficulties, overthinking. Patient has tried self-management without success.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
I'm a teenager and I've been sneaking out of my house at night for a year now. I've been caught several times. I want to stop doing this but I don't know where to start. How do I stop?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I've been with him for a couple months. We will talk everyday and he will get mad over something I will say and not talk to me. We have our great moments, but I just need to focus on my personal situations, and I feel he is slowing me down with that. I still wanna be with him, but not now.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm a Christian teenage girl, and I have lost my virginity. My boyfriend is a Christian teenager too, but things just got out of hand between us in a sexual manner. I planned to abstain from sex but I guess I wasn't clear about this because I was also tempted and led him on. We continued to have sex",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My older brother (in his 60s) started dating a lady with Asperger's. She is hyper-sexual and flirty. She does not understand boundaries. They’ve been dating for a few months, and she's talking marriage. Another sibling and his wife have met her, and they have said she is never invited back. My broth",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with trembling, social fear, blushing. Patient reports significant distress.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG159: CBT recommended for social anxiety disorder
"Patient presents with overthinking, nervousness. Patient reports significant distress.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,DSM-5 GAD criteria + NICE step-care model
"For the past four weeks, I've been having nightmares and hearing voices telling me of horrible things. They're not random voices, but rather, the voices of those I care about.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with burnout, exhaustion, emotional depletion, work overload. Previous episode resolved with therapy.",Mindfulness-Based Therapy,Stress,clinical_knowledge_graph,APA: Mindfulness-Based Stress Reduction (MBSR) for occupational burnout
"I have anxieties about everyday stressors, i.e. finances, work, relationships, kids, and maintaining a household.",Cognitive Behavioral Therapy,Stress,huggingface_counseling,
"Patient presents with lying awake, racing thoughts at night. Impact on work and relationships noted.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM 2021: CBT-I (Cognitive Behavioral Therapy for Insomnia) — first-line
"Patient presents with social withdrawal, loneliness, isolation, loss of relationships. Symptoms are affecting daily functioning.",Group Therapy,Depression,clinical_knowledge_graph,NICE CG90: Group-based CBT or IPT for depression with social difficulties
Then turn right back around and say he loves me and needs me. This rollercoaster is crazy.,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My boyfriend is always saying he's done with me and says he's leaving, but then at the end of the night, he's still here. He wakes up in the morning, acts like nothing happen, and repeats this every night.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"My husband’s ex-wife married a man who was charged with seven felony counts of pandering involving a minor. He, by his own admission, is addicted to child pornography. My step-daughters are now all teenagers. They do not know. My husband’s ex-wife has kept this information from my step-daughters. Th",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with recurrent depression, attachment issues. No prior psychiatric history.",Psychodynamic Therapy,Depression,clinical_knowledge_graph,NICE CG90: Short-term psychodynamic therapy for depression
"My new daughter-in-law just informed me that she is smoking marijuana while pregnant because of her morning sickness. I’m in shock and I don’t know how to respond. I just lost my mom, and she was good with advice.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
Is this something I should be worried about? Should I do something about it?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with avoidance of social situations, embarrassment, trembling, blushing. No prior psychiatric history.",Cognitive Behavioral Therapy,Anxiety,clinical_knowledge_graph,NICE CG159: CBT recommended for social anxiety disorder
"My therapist is gay so there are no sexual issues here. However, my therapist for six years has made me believe that he cares about me and that we are friends. I have loaned money to him many times, and he always paid me back.

I had a medical emergency last weekend and I was heavily medicated. I ",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"Patient presents with irregular schedule, caffeine, sleep hygiene problems. Previous episode resolved with therapy.",Sleep Therapy,Insomnia,clinical_knowledge_graph,AASM: Sleep hygiene education as component of CBT-I
"I feel like every time I do something someone asks me to, I never fully meet what they want. I feel that when I finish it, they always think that they should have picked someone else to do it. I feel like they just want nothing to do with me.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I'm a teenager and I get these really intense mood swings. 

My mood will be really high and I'll think of something that I want to do. When I start to make it happen I get irritated by other people if they intervene. Then if the thing I wanted to do doesn't work out, I have these tendencies to bl",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
How do I decide if I should end my relationship with my boyfriend?,Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
"I have terrible anxiety and depression. I've tried various therapists and pills, but nothing's helped.",Cognitive Behavioral Therapy,Anxiety,huggingface_counseling,
